web_name,price,position,team,avg_points_per_game,expected_points,xG,xA,fixture,image_url
G.Jesus,6.8,FWD,ARS,0.7,2.0,0.49,0.06,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p205651.png
Gabriel,6.3,DEF,ARS,5.0,2.3,1.49,0.15,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png
Havertz,8.3,FWD,ARS,5.2,4.7,4.33,0.22,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p219847.png
J.Timber,5.5,DEF,ARS,3.2,1.7,0.28,0.17,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p445122.png
Jorginho,4.8,MID,ARS,2.0,1.7,0.04,0.14,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p85955.png
Kiwior,4.8,DEF,ARS,0.7,1.3,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p440854.png
Martinelli,7.0,MID,ARS,4.4,5.8,1.47,1.40,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p444145.png
Nwaneri,4.5,MID,ARS,1.0,1.7,0.02,0.16,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p499175.png
Ødegaard,8.2,MID,ARS,2.3,0.0,0.46,0.74,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png
Raya,5.7,GK,ARS,4.6,2.3,0.00,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png
Rice,6.3,MID,ARS,1.4,3.0,0.39,0.77,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p204480.png
Saka,10.0,MID,ARS,7.7,5.5,2.00,3.15,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png
Saliba,6.0,DEF,ARS,2.4,0.7,0.00,0.07,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p462424.png
Thomas,5.0,MID,ARS,3.1,3.0,0.32,0.40,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p167199.png
Tierney,4.3,DEF,ARS,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p192895.png
Tomiyasu,4.8,DEF,ARS,1.0,0.0,0.18,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p223723.png
Trossard,6.9,MID,ARS,3.2,6.3,1.45,0.33,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p116216.png
White,6.3,DEF,ARS,3.5,0.8,0.11,0.10,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png
Zinchenko,4.8,DEF,ARS,3.5,0.8,0.00,0.04,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p206325.png
Neto,4.3,GK,ARS,3.5,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p69752.png
Sterling,6.7,MID,ARS,1.0,2.0,0.33,0.05,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p103955.png
Calafiori,5.8,DEF,ARS,2.3,2.0,0.50,0.41,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p466075.png
Lewis-Skelly,4.5,MID,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p499169.png
Merino,6.0,MID,ARS,1.5,2.0,0.15,0.14,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p195384.png
Oulad M'hand,4.5,MID,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p498046.png
Setford,4.5,GK,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p551221.png
Kacurri,4.0,DEF,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p588793.png
Heaven,4.0,DEF,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p606745.png
Kabia,4.5,MID,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p588796.png
Nichols,4.0,DEF,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p499167.png
Butler-Oyedeji,4.5,FWD,ARS,0.0,1.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p461025.png
Bailey,6.3,MID,AVL,2.0,3.0,0.37,1.13,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p215711.png
Barkley,5.2,MID,AVL,1.4,1.3,0.23,0.19,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p88894.png
Buendia,5.3,MID,AVL,1.0,0.7,0.09,0.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p195546.png
Cash,4.4,DEF,AVL,2.8,2.7,0.03,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p199796.png
Diego Carlos,4.5,DEF,AVL,2.8,3.0,0.00,0.04,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p165659.png
Digne,4.6,DEF,AVL,3.5,4.0,0.27,1.09,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p101188.png
Duran,6.2,FWD,AVL,3.5,1.0,2.09,0.18,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p476344.png
Gauci,4.0,GK,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p462492.png
Hause,4.0,DEF,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p123354.png
Kamara,5.0,MID,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p226944.png
Konsa,4.5,DEF,AVL,2.4,0.7,0.28,0.07,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p199798.png
Maatsen,4.8,DEF,AVL,1.0,0.7,0.01,0.64,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p441302.png
Martinez,5.0,GK,AVL,3.5,6.3,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p98980.png
McGinn,5.2,MID,AVL,1.7,0.3,0.51,0.55,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p122806.png
Mings,4.4,DEF,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p149484.png
Nedeljkovic,4.0,DEF,AVL,1.0,0.0,0.00,0.02,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p578545.png
Olsen,4.5,GK,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p111782.png
Pau,4.5,DEF,AVL,2.0,3.0,0.12,0.13,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244954.png
Ramsey,5.4,MID,AVL,2.6,2.3,0.54,1.01,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p232653.png
Rogers,5.4,MID,AVL,4.2,5.3,1.49,1.34,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p244850.png
Tielemans,5.5,MID,AVL,3.8,4.3,0.29,1.92,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p166989.png
Watkins,9.1,FWD,AVL,6.1,7.0,3.97,0.33,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p178301.png
Onana,5.1,MID,AVL,3.9,1.3,1.11,0.16,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p449871.png
Jaden,5.3,MID,AVL,0.6,0.7,0.23,0.05,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p481624.png
Bogarde,4.0,DEF,AVL,1.0,0.0,0.00,0.08,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p515597.png
Swinkels,4.0,DEF,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p514287.png
Zych,4.0,GK,AVL,0.0,0.0,0.00,0.00,N/A,https://resources.premierleague.com/premierleague/photos/players/110x140/p516159.png
